fung,AI,isolate,code,rate_ppm,rep,length_mm,width_mm
Aprovia,Benzovindiflupyr,GD-16-1,SB1,0,1,79,79
Aprovia,Benzovindiflupyr,GD-16-1,SB1,0,2,79,79
Aprovia,Benzovindiflupyr,GD-16-1,SB1,0,3,79,79
Aprovia,Benzovindiflupyr,GD-16-1,SB1,0.01,1,78.93,77.32
Aprovia,Benzovindiflupyr,GD-16-1,SB1,0.01,2,74.03,75.93
Aprovia,Benzovindiflupyr,GD-16-1,SB1,0.01,3,79,79
Aprovia,Benzovindiflupyr,GD-16-1,SB1,0.1,1,62.49,67.97
Aprovia,Benzovindiflupyr,GD-16-1,SB1,0.1,2,71.78,70.03
Aprovia,Benzovindiflupyr,GD-16-1,SB1,0.1,3,68.91,67.24
Aprovia,Benzovindiflupyr,GD-16-1,SB1,1,1,14.83,14.24
Aprovia,Benzovindiflupyr,GD-16-1,SB1,1,2,6.55,5.34
Aprovia,Benzovindiflupyr,GD-16-1,SB1,1,3,10.57,8.35
Aprovia,Benzovindiflupyr,GD-16-1,SB1,10,1,3.1,1.6
Aprovia,Benzovindiflupyr,GD-16-1,SB1,10,2,5.84,1.19
Aprovia,Benzovindiflupyr,GD-16-1,SB1,10,3,2.17,2.82
Aprovia,Benzovindiflupyr,GD-16-1,SB1,100,1,0.51,0.8
Aprovia,Benzovindiflupyr,GD-16-1,SB1,100,2,1.27,0.62
Aprovia,Benzovindiflupyr,GD-16-1,SB1,100,3,0.67,0.87
Aprovia,Benzovindiflupyr,GD-16-1,SB1,500,1,0,0
Aprovia,Benzovindiflupyr,GD-16-1,SB1,500,2,0,0
Aprovia,Benzovindiflupyr,GD-16-1,SB1,500,3,0,0
Aprovia,Benzovindiflupyr,GD-16-1,SB1,1000,1,0,0
Aprovia,Benzovindiflupyr,GD-16-1,SB1,1000,2,0,0
Aprovia,Benzovindiflupyr,GD-16-1,SB1,1000,3,0,0
