fung,AI,isolate,code,DPI,rate_ppm,rep,length_mm,width_mm
Aprovia,Benzovindiflupyr,Gla18-38,SB11,7,0,1,69.85,70.46
Aprovia,Benzovindiflupyr,Gla18-38,SB11,7,0,2,77.51,74.41
Aprovia,Benzovindiflupyr,Gla18-38,SB11,7,0,3,78.78,78.08
Aprovia,Benzovindiflupyr,Gla18-38,SB11,7,0.01,1,5.51,5.83
Aprovia,Benzovindiflupyr,Gla18-38,SB11,7,0.01,2,4.16,5.07
Aprovia,Benzovindiflupyr,Gla18-38,SB11,7,0.01,3,5.31,8.35
Aprovia,Benzovindiflupyr,Gla18-38,SB11,7,0.1,1,0,0
Aprovia,Benzovindiflupyr,Gla18-38,SB11,7,0.1,2,9.03,7.86
Aprovia,Benzovindiflupyr,Gla18-38,SB11,7,0.1,3,0,0
Aprovia,Benzovindiflupyr,Gla18-38,SB11,7,1,1,0,0
Aprovia,Benzovindiflupyr,Gla18-38,SB11,7,1,2,0,0
Aprovia,Benzovindiflupyr,Gla18-38,SB11,7,1,3,0,0
Aprovia,Benzovindiflupyr,Gla18-38,SB11,7,10,1,0,0
Aprovia,Benzovindiflupyr,Gla18-38,SB11,7,10,2,0,0
Aprovia,Benzovindiflupyr,Gla18-38,SB11,7,10,3,0,0
Aprovia,Benzovindiflupyr,Gla18-38,SB11,7,100,1,0,0
Aprovia,Benzovindiflupyr,Gla18-38,SB11,7,100,2,0,0
Aprovia,Benzovindiflupyr,Gla18-38,SB11,7,100,3,0,0
Aprovia,Benzovindiflupyr,Gla18-38,SB11,7,500,1,0,0
Aprovia,Benzovindiflupyr,Gla18-38,SB11,7,500,2,0,0
Aprovia,Benzovindiflupyr,Gla18-38,SB11,7,500,3,0,0
Aprovia,Benzovindiflupyr,Gla18-38,SB11,7,1000,1,0,0
Aprovia,Benzovindiflupyr,Gla18-38,SB11,7,1000,2,0,0
Aprovia,Benzovindiflupyr,Gla18-38,SB11,7,1000,3,0,0
